pro_id,intensity2,age,rho_age,rho_p_age,intensity2_zs
A0A075B6H7,7.74079264043249,13,0.33672032193159,0.00426620220824016,-0.263985767158399
A0A075B6H7,6.23783134844985,14,0.33672032193159,0.00426620220824016,-2.41754561411407
A0A075B6H7,7.94174335129347,16,0.33672032193159,0.00426620220824016,0.0239520423087482
A0A075B6H7,8.21657680562382,17,0.33672032193159,0.00426620220824016,0.417754793585998
A0A075B6H7,7.34903141643942,18,0.33672032193159,0.00426620220824016,-0.825331722031754
A0A075B6H7,7.82245347258519,19,0.33672032193159,0.00426620220824016,-0.146975774864424
A0A075B6H7,8.00904098561749,20,0.33672032193159,0.00426620220824016,0.120381327512857
A0A075B6H7,7.59696656343732,21,0.33672032193159,0.00426620220824016,-0.470070957784547
A0A075B6H7,9.34492253492766,22,0.33672032193159,0.00426620220824016,2.0345363228742
A0A075B6H7,6.8177441384897,23,0.33672032193159,0.00426620220824016,-1.58660146004448
A0A075B6H7,6.732002599678,24,0.33672032193159,0.00426620220824016,-1.70945860625713
A0A075B6H7,8.79500825930989,26,0.33672032193159,0.00426620220824016,1.24657637370218
A0A075B6H7,7.7181393007771,27,0.33672032193159,0.00426620220824016,-0.296445234306047
A0A075B6H7,8.57380963673045,30,0.33672032193159,0.00426620220824016,0.929625781341559
A0A075B6H7,7.44434407030215,31,0.33672032193159,0.00426620220824016,-0.688760337685064
A0A075B6H7,7.83018315157776,32,0.33672032193159,0.00426620220824016,-0.135900089550991
A0A075B6H7,8.02829862551799,33,0.33672032193159,0.00426620220824016,0.147975171917286
A0A075B6H7,7.94299713552826,34,0.33672032193159,0.00426620220824016,0.025748561885933
A0A075B6H7,7.64989223560994,35,0.33672032193159,0.00426620220824016,-0.394234937873657
A0A075B6H7,8.2246100337399,36,0.33672032193159,0.00426620220824016,0.429265427695149
A0A075B6H7,6.3615755907705,37,0.33672032193159,0.00426620220824016,-2.24023523827454
A0A075B6H7,7.6199110039067,38,0.33672032193159,0.00426620220824016,-0.437194378747332
A0A075B6H7,7.92757008625229,39,0.33672032193159,0.00426620220824016,0.00364348569072046
A0A075B6H7,6.63920212061819,40,0.33672032193159,0.00426620220824016,-1.84243035113675
A0A075B6H7,7.78830415225846,41,0.33672032193159,0.00426620220824016,-0.1959075773325
A0A075B6H7,7.72710274266593,42,0.33672032193159,0.00426620220824016,-0.283601717546651
A0A075B6H7,8.05169231126088,43,0.33672032193159,0.00426620220824016,0.181495464526897
A0A075B6H7,7.55860163059119,44,0.33672032193159,0.00426620220824016,-0.525043217781733
A0A075B6H7,7.76308745532864,45,0.33672032193159,0.00426620220824016,-0.232040022173626
A0A075B6H7,8.06009785447857,46,0.33672032193159,0.00426620220824016,0.193539580674159
A0A075B6H7,8.49319264415338,47,0.33672032193159,0.00426620220824016,0.814111483586575
A0A075B6H7,8.50871757489754,48,0.33672032193159,0.00426620220824016,0.836356811963123
A0A075B6H7,6.40907847527835,49,0.33672032193159,0.00426620220824016,-2.17216941034112
A0A075B6H7,7.73726939401449,50,0.33672032193159,0.00426620220824016,-0.269034148681739
A0A075B6H7,8.08425861840494,51,0.33672032193159,0.00426620220824016,0.228159002572219
A0A075B6H7,7.94738613505773,52,0.33672032193159,0.00426620220824016,0.0320374618099638
