disease,pro_id,n_SNP,ivw_beta,ivw_se,ivw_pval,ivw_qvalue,wald_beta,wald_se,wald_pval,wald_qvalue
ad_eur,A0A075B6I0,2,-0.000390132829157115,0.0443054975123345,0.992974304410692,0.953061255941131,,,,
ad_eur,A0A075B6I9,2,0.00799277929416875,0.0219458543709452,0.71570529411892,0.945334763038493,,,,
ad_eur,A0A075B6J1,2,0.0396678313697969,0.0255811288825669,0.120981328755152,0.850501116840707,,,,
ad_eur,A0A075B6K4,3,0.0722700119304157,0.033114600832014,0.0290784498738276,0.564433549855717,,,,
ad_eur,A0A075B6K5,2,0.0794255020274995,0.0384071972746631,0.038641447894084,0.632505212894814,,,,
ad_eur,A0A087WSX0,2,0.034541451463622,0.0270324901546465,0.201328623528332,0.91036389705861,,,,
ad_eur,A0A0B4J1U7,2,0.0455256369728937,0.0266414126245054,0.0874825007128949,0.799236355376576,,,,
ad_eur,A0A0B4J1V2,1,,,,,0.018298110809996,0.0180598465704819,0.310967965302584,0.599995192693519
ad_eur,A0A0C4DH24,2,0.00153165757262157,0.0206430419806234,0.940853409873313,0.949165525314827,,,,
ad_eur,A0A0C4DH36,2,0.0287655695538059,0.0344274636728715,0.403412974043167,0.945334763038493,,,,
ad_eur,A0AVT1,3,0.0397952734197274,0.0436983322284509,0.36246308563944,0.945334763038493,,,,
ad_eur,A0FGR8,3,-0.0174215540382325,0.0152010712816445,0.251764494496081,0.927522026486626,,,,
ad_eur,A0MZ66,3,-0.019477472303534,0.026543676659164,0.463077016148038,0.945334763038493,,,,
ad_eur,A0PJW8,2,0.0201660609124886,0.014010559218082,0.150052141022851,0.880494442241827,,,,
ad_eur,A1A4S6,3,0.0137003728605071,0.0236157358669698,0.561821928590548,0.945334763038493,,,,
ad_eur,A1A5D9,3,-0.000649149342014452,0.0335681560608455,0.984571271773752,0.952192310928704,,,,
ad_eur,A1IGU5,4,0.0047574514678003,0.0211790807785304,0.822267324732082,0.945334763038493,,,,
ad_eur,A1L0T0,5,-0.00787785597621348,0.0169295030608657,0.641693026170097,0.945334763038493,,,,
ad_eur,A1X283,2,-0.0330581344191752,0.0271904588032275,0.224061474674288,0.91715838228927,,,,
ad_eur,A2A3N6,2,-0.0214215517973152,0.0386625768830307,0.57953487306331,0.945334763038493,,,,
ad_eur,A2RRP1,4,0.000469996173205097,0.0208320615328044,0.982000298967969,0.952015415338449,,,,
ad_eur,A3KMH1,4,0.00388105623195231,0.0167102718159936,0.816339401491947,0.945334763038493,,,,
ad_eur,A3KN83,1,,,,,-0.0623499889824739,0.0387692513759512,0.107784160896349,0.599995192693519
ad_eur,A4D0S4,1,,,,,0.0512838483593501,0.0360160857966026,0.154471050550643,0.599995192693519
ad_eur,A4D1P6,4,0.00471798248487201,0.0172582669476462,0.784564800854518,0.945334763038493,,,,
ad_eur,A4D2B0,2,0.0260751145579499,0.0276960208893348,0.34646143402738,0.945334763038493,,,,
ad_eur,A5D8V6,2,-0.0348995725489772,0.0303623817929129,0.250376814590875,0.927522026486626,,,,
ad_eur,A5YKK6,3,-0.0427670293768824,0.0207176912306358,0.0389915707856936,0.632505212894814,,,,
ad_eur,A6ND36,3,-0.00672113994225727,0.0193050130362089,0.727723659200024,0.945334763038493,,,,
ad_eur,A6NDG6,3,0.000882065484627926,0.0159278343330505,0.955836628411573,0.95075121750075,,,,
ad_eur,A6NFQ2,1,,,,,-0.00685756647435313,0.163645795409928,0.966574482028074,0.691915192270569
ad_eur,A6NHR9,3,0.0026790486226133,0.0178671281782253,0.88080968226202,0.947055515915278,,,,
ad_eur,A6NIH7,3,-0.0171870255862058,0.023953012092087,0.473046596206425,0.945334763038493,,,,
ad_eur,A6NMZ7,1,,,,,-0.0901549597899636,0.163890191288134,0.582255115628694,0.617144798676806
ad_eur,A7E2V4,1,,,,,-0.0234406862007144,0.017986897209836,0.192503420727311,0.599995192693519
ad_eur,A8K2U0,2,-0.00197327535080669,0.0256662484102855,0.938717329035377,0.949165525314827,,,,
ad_eur,A8MXV4,5,-0.0232823661441073,0.0281524263893305,0.408230829905577,0.945334763038493,,,,
ad_eur,A8TX70,2,0.000752721769922312,0.051723595122485,0.988388976460765,0.952775243306811,,,,
ad_eur,A9UHW6,4,-0.012063913098928,0.0155515810097976,0.437905188614803,0.945334763038493,,,,
ad_eur,B0I1T2,2,-0.00131285056186326,0.0222056576375797,0.952854660672769,0.950000371364069,,,,
ad_eur,B1AK53,3,0.0450086668694525,0.0274150356928258,0.100641582788839,0.837817381301654,,,,
ad_eur,C9JLW8,3,-0.027157404616914,0.0271320660810703,0.316858767776957,0.942252611879378,,,,
ad_eur,L0R6Q1,1,,,,,-0.127888711447853,0.0625242106358084,0.0408127748207677,0.599995192693519
ad_eur,L0R819,5,-0.0016348330249135,0.0198461696272535,0.934348323184746,0.949165525314827,,,,
ad_eur,O00115,1,,,,,0.145924896916671,0.0799460710425409,0.0679570276946937,0.599995192693519
ad_eur,O00116,3,0.0297021712554629,0.0470307009224139,0.527681911221368,0.945334763038493,,,,
ad_eur,O00139,3,-0.0432400338509902,0.0234289970910946,0.0649535513444703,0.737904704271057,,,,
ad_eur,O00142,1,,,,,-0.00178796737899386,0.0239775378655407,0.940558092543749,0.680586084549256
ad_eur,O00148,4,-0.0533974815875328,0.0624353142959666,0.392415606633031,0.945334763038493,,,,
ad_eur,O00151,1,,,,,-0.00473915682247438,0.0462823302813424,0.918441821216558,0.677968702036605
ad_eur,O00154,4,-0.0140267362950176,0.0359829922611617,0.696672813336907,0.945334763038493,,,,
ad_eur,O00159,4,-0.043103302889103,0.0407922753680623,0.290669727933221,0.933122220846645,,,,
ad_eur,O00160,3,0.01119530822089,0.0165392352577122,0.498473245364096,0.945334763038493,,,,
ad_eur,O00161,2,-0.0170900675099427,0.0235939631854115,0.468856603756448,0.945334763038493,,,,
ad_eur,O00170,2,0.0102840987881426,0.0810145643587382,0.898986812738648,0.948992421090386,,,,
ad_eur,O00178,1,,,,,-0.0151715472195406,0.0367487823783406,0.679720256000095,0.65607198598387
ad_eur,O00182,1,,,,,0.0209925202105422,0.0187286911680277,0.26234110792471,0.599995192693519
ad_eur,O00186,3,0.00587941702407574,0.0123737348656416,0.634677936825911,0.945334763038493,,,,
ad_eur,O00187,2,-0.00478059559271196,0.0210802049411935,0.820593830711196,0.945334763038493,,,,
ad_eur,O00192,4,-0.0241898686131957,0.0111484924298357,0.0300228859185924,0.565127000562939,,,,
ad_eur,O00193,2,0.0440909781308543,0.0603047879075507,0.464696322895661,0.945334763038493,,,,
ad_eur,O00194,2,0.0124065918711787,0.0402966678940632,0.75817262957602,0.945334763038493,,,,
ad_eur,O00203,2,0.000498886616948294,0.0213052034775668,0.981318293627657,0.952015415338449,,,,
ad_eur,O00204,4,0.000741622446827167,0.0250360764206971,0.976368398781413,0.952015415338449,,,,
ad_eur,O00214,4,-0.00104239598105749,0.0187711813481228,0.955714860263798,0.95075121750075,,,,
ad_eur,O00217,3,0.0242793870347747,0.0229431609012893,0.289945712723411,0.933122220846645,,,,
ad_eur,O00231,3,0.0090792458682404,0.0265657531005618,0.732527715484483,0.945334763038493,,,,
ad_eur,O00232,3,-0.0063038110226884,0.0182292552386391,0.729487477309574,0.945334763038493,,,,
ad_eur,O00233,3,-0.0344664495347409,0.0459245891635607,0.452953029044896,0.945334763038493,,,,
ad_eur,O00255,5,-0.0242991535254273,0.0185825462800921,0.190997767479708,0.91036389705861,,,,
ad_eur,O00267,2,-0.00777729867446822,0.0364012007373834,0.830816102955593,0.945334763038493,,,,
ad_eur,O00268,7,-0.0246410975562327,0.0119671010807878,0.039487543368136,0.633878176928468,,,,
ad_eur,O00273,3,0.0107909634656471,0.0128169425174536,0.399827352886923,0.945334763038493,,,,
ad_eur,O00291,2,0.00915838777067609,0.0495917023805899,0.853483321188363,0.945334763038493,,,,
ad_eur,O00303,3,-0.0448993055556361,0.0372254710075527,0.227761691723711,0.91715838228927,,,,
